ax;ay;az;d_row;d_pitch;d_yaw
-2.30153;0.02562;9.91067;-6.03750;171.01875;10.36875
-2.33630;-0.01220;9.88932;-6.25625;169.31250;10.98125
-2.31617;0.04331;9.90091;-5.64375;167.43124;9.97500
-2.37290;-0.00854;9.89176;-6.12500;165.50626;11.68125
-2.44671;-0.06649;9.93507;-4.55000;160.91251;9.66875
-2.44610;-0.01159;9.84235;-5.77500;159.46875;10.54375
-2.46379;-0.00366;9.85760;-5.73125;157.14999;11.15625
-2.49307;-0.00671;9.85211;-5.46875;154.70000;10.41250
-2.51625;-0.00793;9.91372;-5.81875;152.20625;10.50000
-2.53455;0.00732;9.87163;-5.99375;150.36874;10.89375
-2.59494;-0.07503;9.88749;-6.34375;148.26875;11.63750
-2.55651;0.03172;9.83625;-5.46875;145.60001;9.93125
-2.62361;-0.04819;9.78379;-5.68750;142.80000;11.85625
-2.58640;0.01891;9.82527;-5.07500;140.87500;9.93125
-2.61690;-0.00671;9.84723;-5.99375;137.98750;12.07500
-2.71023;-0.07137;9.82710;-4.63750;135.93124;9.93125
-2.64801;0.00549;9.80880;-5.03125;133.65625;11.20000
-2.70657;-0.06527;9.80575;-5.95000;131.81876;11.37500
-2.72182;0.01403;9.77830;-4.72500;130.37500;10.10625
-2.74317;-0.00732;9.79172;-5.33750;128.27499;11.85625
-2.74866;-0.01220;9.73438;-5.03125;125.91250;11.11250
-2.78709;-0.02989;9.74231;-4.55000;123.90000;11.90000
-2.78038;0.01281;9.76244;-4.59375;122.01875;11.06875
-2.77245;0.04697;9.79782;-4.68125;119.56875;10.67500
-2.84321;-0.03416;9.79538;-4.55000;117.33750;11.94375
-2.82918;0.01159;9.79538;-4.63750;113.96875;11.85625
-2.85785;-0.04941;9.68009;-4.50625;112.65625;12.11875
-2.83589;0.02135;9.76061;-4.11250;110.03125;10.23750
-2.90421;-0.03965;9.76854;-4.46250;107.75625;12.20625
-2.91824;-0.07015;9.75878;-4.59375;105.13125;10.76250
-2.89140;0.02196;9.76610;-4.59375;102.68125;11.46250
-2.93044;-0.02074;9.71791;-4.41875;100.23125;12.07500
-2.95362;-0.02867;9.76915;-4.06875;97.91250;10.36875
-2.89994;0.03477;9.74841;-3.85000;95.11250;11.68125
-3.00608;-0.07686;9.76488;-4.63750;93.10000;12.73125
-2.98290;-0.02379;9.74536;-3.89375;88.63750;10.85000
-2.95667;-0.00488;9.69839;-4.28750;86.36250;13.08125
-3.03170;0.01098;9.70632;-3.41250;83.65000;10.28125
-2.99510;-0.01891;9.76122;-3.98125;81.68125;12.29375
-3.04146;-0.03965;9.75695;-4.06875;79.40625;12.16250
-3.01767;-0.00610;9.74292;-3.85000;76.47500;11.20000
-3.04878;-0.02623;9.66972;-4.50625;74.24375;12.64375
-3.05976;-0.06161;9.68680;-4.15625;72.01250;11.37500
-3.02377;-0.02135;9.71547;-3.89375;69.86875;11.02500
-3.07257;-0.02684;9.73072;-3.85000;66.10625;12.55625
-3.06098;-0.03355;9.69107;-3.58750;63.70000;11.68125
-3.08599;-0.02135;9.65752;-3.98125;60.33125;11.20000
-3.06220;-0.00793;9.69839;-3.32500;57.70625;12.60000
-3.10917;-0.06710;9.69900;-4.06875;54.99375;12.64375
-3.08111;0.00244;9.70388;-3.32500;52.36875;11.85625
-3.08782;-0.05124;9.68375;-3.36875;49.96250;12.68750
-3.08050;-0.02623;9.63007;-3.01875;47.07500;11.33125
-3.07867;0.01525;9.69290;-3.01875;44.27500;12.29375
-3.11161;-0.02379;9.67582;-2.40625;41.30000;13.30000
-3.09880;-0.01464;9.64837;-2.45000;38.93750;11.59375
-3.10551;0.01769;9.67094;-2.58125;36.57500;12.11875
-3.13479;-0.05978;9.69595;-3.10625;32.68125;12.16250
-3.11588;-0.00244;9.70449;-2.62500;30.71250;12.55625
-3.12625;-0.04758;9.66057;-2.58125;28.13125;12.55625
-3.07867;0.01952;9.62641;-1.92500;25.76875;11.98750
-3.14150;-0.04514;9.65020;-2.62500;23.36250;13.91250
-3.12503;-0.02257;9.69900;-2.40625;21.08750;11.55000
-3.09697;0.00854;9.71242;-2.14375;18.68125;12.38125
-3.14333;-0.05612;9.72157;-2.88750;16.80000;13.34375
-3.16468;-0.04697;9.67826;-2.14375;13.91250;11.63750
-3.10734;-0.01830;9.66606;-2.49375;11.41875;12.73125
-3.13845;-0.07015;9.68680;-2.23125;8.48750;12.33750
-3.09697;-0.03721;9.71669;-1.18125;4.06875;12.51250
-3.11161;-0.01281;9.68436;-2.84375;1.57500;13.34375
-3.09880;-0.03294;9.67582;-2.10000;-2.10000;12.11875
-3.07379;-0.00793;9.68253;-1.44375;-4.33125;12.60000
-3.12259;-0.05063;9.68314;-2.53750;-7.21875;12.99375
-3.09331;-0.03965;9.70632;-2.31875;-9.23125;12.07500
-3.08843;-0.02562;9.73255;-2.80000;-12.55625;13.73750
-3.09148;-0.06222;9.71852;-2.23125;-14.70000;13.78125
-3.05061;-0.01769;9.66911;-1.57500;-17.54375;11.81250
-3.05671;-0.01464;9.68619;-1.22500;-20.03750;13.51875
-3.05732;-0.02257;9.69839;-0.91875;-23.97500;12.90625
-3.06159;-0.01342;9.66362;-1.88125;-26.11875;13.51875
-3.03841;-0.04270;9.69351;-1.61875;-28.21875;12.86250
-3.02499;-0.01403;9.72950;-1.31250;-30.97500;13.38750
-3.02316;-0.04697;9.75878;-1.13750;-33.46875;13.65000
-3.01523;-0.02745;9.70510;-0.74375;-36.44375;11.98750
-2.98168;0.01281;9.70754;-1.00625;-37.97500;13.73750
-3.00303;-0.03843;9.70266;-1.09375;-40.51250;13.60625
-2.97131;-0.01891;9.70510;-0.65625;-43.00625;12.38125
-2.93166;0.01952;9.74353;-0.48125;-45.19375;13.82500
-2.97619;-0.04575;9.75329;-1.44375;-47.33750;12.95000
-2.93105;0.00671;9.76244;-0.04375;-51.84375;13.56250
-2.92190;-0.02196;9.72828;-0.70000;-54.33750;14.30625
-2.93715;-0.02562;9.73743;0.08750;-56.30625;12.73125
-2.90116;0.01952;9.76183;-0.39375;-58.71250;14.13125
-2.89506;-0.01708;9.79721;-0.30625;-61.20625;13.60625
-2.86212;-0.00610;9.75268;-0.52500;-63.35000;13.21250
-2.88774;-0.04392;9.79050;-1.48750;-64.96875;13.73750
-2.83406;-0.00976;9.78989;-0.39375;-67.33125;13.69375
-2.85053;-0.05734;9.76610;-0.56875;-69.47500;14.56875
-2.81332;-0.00976;9.73804;0.17500;-72.49375;12.73125
-2.79868;-0.01830;9.79050;-0.13125;-75.68750;14.08750
-2.77672;-0.03843;9.77586;0.00000;-77.65625;14.17500
-2.74683;0.00610;9.79660;-0.13125;-79.97500;12.68750
-2.74622;-0.02135;9.80880;-0.08750;-82.11875;14.91875
-2.75049;-0.06466;9.79233;-0.61250;-84.04375;13.51875
-2.68400;0.02013;9.78928;0.35000;-86.58125;13.34375
-2.68827;-0.01708;9.81612;-0.04375;-88.11250;15.13750
-2.67973;-0.00488;9.81185;0.39375;-90.95625;13.30000
-2.63703;0.03660;9.79965;0.87500;-93.18750;13.56250
-2.62605;-0.01647;9.78562;0.21875;-95.02500;14.96250
-2.58945;0.01159;9.79660;0.70000;-97.51875;12.99375
-2.56505;0.05551;9.83808;0.26250;-100.62500;15.18125
-2.59921;-0.07686;9.78623;1.22500;-103.16250;12.99375
-2.51381;0.02989;9.85638;1.00625;-105.39375;14.21875
-2.54370;-0.05490;9.87285;0.35000;-107.01250;14.74375
-2.44244;0.04697;9.84784;1.13750;-110.11875;12.60000
-2.48514;-0.01037;9.87041;1.13750;-112.35000;15.40000
-2.47782;-0.02379;9.87163;1.26875;-114.71250;13.38750
-2.38449;0.03233;9.89054;0.87500;-117.03125;13.78125
-2.42902;-0.04941;9.87834;0.48125;-118.78125;15.05000
-2.39669;0.00061;9.87346;0.96250;-121.36250;13.56250
-2.33203;0.01830;9.86858;1.13750;-124.46875;15.09375
-2.33020;-0.01098;9.92470;1.35625;-126.70000;14.26250
-2.28140;0.02806;9.91067;1.31250;-128.27499;13.82500
-2.26859;-0.00427;9.89908;0.91875;-129.41251;15.05000
-2.25822;-0.01342;9.89847;0.96250;-131.95000;14.00000
-2.21918;0.02501;9.95398;1.22500;-133.35001;13.65000
-2.18624;-0.02684;9.93080;1.09375;-134.48750;15.18125
-2.13256;0.03172;9.87041;1.26875;-135.88750;14.30625
-2.15025;-0.00793;9.95459;1.18125;-136.98125;14.61250
-2.13256;0.00488;9.92287;1.61875;-138.25000;14.78750
-2.10328;-0.00183;9.92592;1.88125;-139.69376;14.04375
-2.05387;0.02196;9.93446;1.26875;-140.96249;14.56875
-2.00507;0.03111;9.99851;0.91875;-142.36250;15.18125
-2.02764;-0.02928;9.96862;1.26875;-143.41251;14.74375
-1.98433;0.01952;9.98753;1.66250;-145.86250;14.65625
-1.93797;0.00244;9.95703;1.61875;-146.51875;15.26875
-1.90869;0.00854;9.97655;2.14375;-148.57500;14.30625
-1.86782;0.00976;10.00156;2.01250;-151.02499;14.48125
-1.83183;0.01647;10.02230;1.35625;-152.38126;14.65625
-1.82024;-0.00427;9.98692;1.48750;-153.95625;14.13125
-1.80804;0.00244;10.03633;0.87500;-154.39375;15.83750
-1.78303;-0.01403;10.05646;1.40000;-158.50626;14.17500
-1.72081;0.02318;10.01620;2.23125;-160.03751;15.35625
-1.69641;0.02196;10.01620;2.18750;-161.48125;15.31250
-1.61467;0.05795;10.02047;2.31875;-163.88750;14.52500
-1.60430;0.02623;10.01925;2.23125;-166.07500;15.75000
-1.58051;0.01525;10.02596;2.53750;-167.78125;14.48125
-1.53049;0.04453;10.02718;2.18750;-169.92500;14.26250
-1.53659;0.00488;10.05646;1.83750;-170.05624;15.09375
-1.47803;0.06588;10.06561;2.71250;-170.84375;14.78750
-1.47254;0.01586;10.06805;2.40625;-172.33125;15.92500
-1.44997;0.01708;10.06012;2.05625;-172.33125;14.30625
-1.37128;0.06771;10.06134;1.83750;-172.41875;15.75000
-1.37799;0.00793;10.08147;2.18750;-172.59375;15.22500
-1.30357;0.04026;10.05463;2.45000;-173.90625;14.56875
-1.28710;0.02806;10.06561;2.36250;-173.95000;15.53125
-1.22610;0.03050;10.08269;2.88750;-174.82500;13.78125
-1.21573;0.05612;10.11197;2.62500;-174.69376;15.09375
-1.19499;0.00793;10.11929;1.83750;-175.48125;15.18125
-1.14619;0.04819;10.10648;2.31875;-176.75000;14.70000
-1.09678;0.03660;10.08513;2.27500;-176.70625;15.26875
-1.07299;0.01403;10.09428;2.40625;-178.98125;15.18125
-1.02907;0.07015;10.14796;2.93125;-181.43124;15.61875
-1.00040;0.01037;10.13454;2.36250;-183.22501;15.35625
-0.93330;0.05673;10.12112;2.36250;-184.23125;14.91875
-0.90524;0.04026;10.13942;2.49375;-185.50000;15.26875
-0.90524;0.01769;10.15284;2.27500;-187.07500;16.18750
-0.86010;0.03416;10.11685;2.93125;-188.78125;14.70000
-0.76799;0.09028;10.14064;2.66875;-190.22501;15.13750
-0.77775;0.04209;10.13454;2.23125;-190.96875;15.35625
-0.75030;0.02684;10.15528;2.36250;-191.27499;14.43750
-0.67771;0.05917;10.11136;2.53750;-189.91875;14.87500
-0.67039;0.02806;10.15345;2.80000;-189.91875;15.70625
-0.64660;0.03416;10.13149;3.01875;-189.83125;15.18125
-0.61488;0.04209;10.10099;2.71250;-188.60625;15.53125
-0.53314;0.05307;10.13454;3.32500;-187.86250;14.83125
-0.52704;0.04148;10.18395;2.66875;-187.51250;15.66250
-0.46604;0.05795;10.10282;3.36875;-188.03751;15.88125
-0.44469;0.05246;10.15162;3.23750;-187.25000;16.36250
-0.37210;0.07869;10.18029;3.28125;-187.95000;15.57500
-0.35624;0.05124;10.16443;3.10625;-188.51875;15.75000
-0.29768;0.07137;10.11014;2.97500;-189.43750;15.22500
-0.30134;0.04453;10.13149;2.84375;-190.26875;16.01250
-0.27023;0.02196;10.14613;3.23750;-190.88126;14.78750
-0.17873;0.10614;10.15772;2.75625;-191.53751;16.31875
-0.15982;0.05063;10.17480;2.75625;-192.63126;15.40000
-0.09028;0.08418;10.16199;2.75625;-193.55000;14.83125
-0.07686;0.07076;10.14247;2.71250;-194.42500;15.88125
-0.06527;0.06100;10.16748;2.97500;-194.51250;15.31250
0.00488;0.08052;10.15711;2.80000;-194.60001;15.13750
0.01708;0.05795;10.15833;3.19375;-194.07500;16.58125
0.05002;0.05490;10.17175;2.40625;-192.89375;13.86875
0.12932;0.11468;10.16016;2.53750;-191.80000;15.44375
0.11590;0.01647;10.12966;2.71250;-191.10001;14.83125
0.19093;0.09455;10.10343;3.23750;-190.26875;15.26875
0.21289;0.06771;10.13210;2.71250;-188.47501;16.18750
0.26901;0.05429;10.13759;2.31875;-188.60625;15.79375
0.31049;0.10614;10.13881;2.84375;-187.03125;14.70000
0.33977;0.06832;10.14369;2.49375;-186.94376;15.35625
0.38735;0.08601;10.15467;3.10625;-186.24374;14.70000
0.42517;0.08723;10.15223;2.27500;-186.59375;15.57500
0.45018;0.07198;10.13271;2.71250;-187.33749;14.61250
0.51728;0.11163;10.14857;3.15000;-187.99374;15.40000
0.51850;0.05551;10.14613;3.19375;-187.64375;15.44375
0.56669;0.10248;10.12112;2.93125;-188.64999;15.61875
0.60573;0.09577;10.14247;2.93125;-189.35001;15.18125
0.65209;0.06771;10.10221;3.23750;-189.13126;15.18125
0.68747;0.09028;10.12539;2.49375;-189.35001;15.09375
0.74542;0.10675;10.10953;3.28125;-188.25626;15.61875
0.73017;0.06222;10.10831;2.58125;-186.63750;16.45000
0.78751;0.12139;10.08452;3.15000;-185.58749;14.30625
0.81557;0.09150;10.09916;2.71250;-183.48750;15.53125
0.85339;0.07747;10.06744;2.93125;-181.51875;15.22500
0.88938;0.10126;10.09245;2.80000;-179.55000;14.56875
0.93086;0.10126;10.09733;2.75625;-177.53751;15.61875
0.95526;0.08296;10.07781;2.36250;-175.04375;14.78750
1.01321;0.11346;10.05219;2.71250;-173.29375;15.22500
1.05103;0.10309;10.08452;2.31875;-172.72501;15.44375
1.07726;0.09089;10.09001;2.49375;-171.67500;15.92500
1.13704;0.11224;10.08696;2.31875;-171.63126;14.70000
1.15046;0.09455;10.08818;3.01875;-171.01875;15.31250
1.14070;0.02928;10.09184;1.66250;-170.62500;14.21875
1.24867;0.12566;10.05707;1.18125;-169.39999;14.35000
1.26209;0.12993;10.02230;2.23125;-169.92500;16.45000
1.29930;0.14213;10.02291;2.80000;-169.92500;14.65625
1.32675;0.14823;10.03755;2.40625;-168.61250;16.27500
1.32614;0.05002;10.03938;2.53750;-168.78751;14.61250
1.41581;0.14945;10.03938;2.80000;-167.64999;15.18125
1.39385;0.07076;10.04365;2.18750;-166.77499;15.61875
1.45973;0.12749;10.00034;2.36250;-164.63126;14.17500
1.50792;0.13115;10.00583;1.70625;-162.96875;15.18125
1.49877;0.09455;10.01315;2.14375;-161.17500;15.35625
1.55184;0.10797;9.99607;1.79375;-159.46875;14.39375
1.58295;0.12627;9.98936;2.66875;-156.71249;15.05000
1.61528;0.13420;10.00217;2.40625;-154.91875;14.87500
1.61589;0.08357;9.99363;2.01250;-152.38126;14.00000
1.68604;0.15006;9.97411;1.18125;-148.92500;15.88125
1.67750;0.08906;9.98204;1.35625;-147.56876;13.86875
1.73850;0.13176;9.97899;1.70625;-145.86250;15.13750
1.74948;0.10431;9.96374;1.83750;-144.46249;14.26250
1.79767;0.14884;9.95581;2.14375;-142.62500;13.91250
1.81048;0.11651;9.93812;1.83750;-140.43750;15.88125
1.85135;0.11895;9.95154;1.92500;-139.86874;14.56875
1.89710;0.13054;9.94666;1.70625;-138.11874;13.69375
1.90991;0.11651;9.97167;1.13750;-136.10625;15.79375
1.93736;0.12688;9.97289;1.44375;-135.58125;14.00000
